Comment,Designator,Footprint,LCSC Part #
22u CAP CER 22uF 25V X5R 1206,"C1,C2,C5,C6,C8",C_1206_3216Metric,C12891
100n CAP CER 100nF 50V X7R 0402,"C3,C9,C10,C11,C12,C15,C17,C18",C_0402_1005Metric,C307331
47p CAP CER 47pF 50V C0G 0402,C4,C_0402_1005Metric,C1567
1u CAP CER 1uF 50V X7R 0805,C7,C_0805_2012Metric,C28323
15p CAP CER 15pF 50V C0G 0402,"C13,C14",C_0402_1005Metric,C1548
4.7u CAP CER 4.7uF 16V X5R 0603,C16,C_0603_1608Metric,C19666
LED_B Blue LED Indication - Discrete 2.8V 0603 (1608 Metric),"D1,D2,D3",LED_0603_1608Metric,C72041
Fuse Fuse Holder (Mini) Inline Horizontal Mount,F1,CMP-0026,C206906
"8.2u 5A 8.2uH ±20% 54mΩ 6A SMD,6.6x7mm Power Inductors",L1,CMP-0058,C167222
510k RES TF SMD 510k 1% 62.5mW 0402,R1,R_0402_1005Metric,C11616
100k RES TF SMD 100k 1% 62.5mW 0402,R2,R_0402_1005Metric,C25741
39k RES TF SMD 39k 1% 62.5mW 0402,R3,R_0402_1005Metric,C25783
5.1k RES TF SMD 5.1k 1% 62.5mW 0402,R4,R_0402_1005Metric,C25905
470 RES TF SMD 470 1% 62.5mW 0402,R5,R_0402_1005Metric,C25117
100 RES TF SMD 100 1% 62.5mW 0402,"R6,R25",R_0402_1005Metric,C25076
120 RES TF SMD 120R 1% 250mW 1206,"R7,R8",R_1206_3216Metric,C114928
0 RES TF SMD 0R 1% 62.5mW 0402,"R9,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24",R_0402_1005Metric,C17168
10k RES TF SMD 10k 1% 62.5mW 0402,"R10,R12",R_0402_1005Metric,C25744
SPST Tactile SPST,SW1,CMP-0011,C318884
TPS54302 Switching Voltage Regulators 5 to 28V Input 3A Step Down Converter ,U1,SOT-23-6,C311983
"XC6206P33 LDO Voltage Regulators 1uA Low Quiescent 3 Terminal, Low ESR Cap. Compatible, Voltage Regulator ",U2,CMP-0019,C5446
TJA1051T/3 CAN Interface IC High-speed CAN transceiver ,"U3,U4",SOIC-8_3.9x4.9mm_P1.27mm,C38695
STM32G0B1 ARM Microcontrollers - MCU Mainstream Arm Cortex-M0+ 32-bit MCU up to 128KB Flash 144KB RAM,U5,LQFP-48_7x7mm_P0.5mm,C2847904
40M Crystal 40MHz 8pF SMD ,Y1,CMP-0004,C485379
